name,surname,born,died,birthplace,motivation,category,year
Miguel Angel,Asturias,1899-10-19,1974-06-09,Guatemala,"for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America",literature,1967
Yasunari,Kawabata,1899-06-11,1972-04-16,Japan,"for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind",literature,1968
Samuel,Beckett,1906-04-13,1989-12-22,Ireland,"for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation",literature,1969
Alexandr,Solzhenitsyn,1918-12-11,2008-08-03,Russia,for the ethical force with which he has pursued the indispensable traditions of Russian literature,literature,1970
Pablo,Neruda,1904-07-12,1973-09-23,Chile,for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams,literature,1971
Heinrich,Böll,1917-12-21,1985-07-16,Germany,for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature,literature,1972
Patrick,White,1912-05-28,1990-09-30,United Kingdom,for an epic and psychological narrative art which has introduced a new continent into literature,literature,1973
Eyvind,Johnson,1900-07-29,1976-08-25,Sweden,"for a narrative art, far-seeing in lands and ages, in the service of freedom",literature,1974
Harry,Martinson,1904-05-06,1978-02-11,Sweden,for writings that catch the dewdrop and reflect the cosmos,literature,1974
Eugenio,Montale,1896-10-12,1981-09-12,Italy,"for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions",literature,1975
Saul,Bellow,1915-06-10,2005-04-05,Canada,for the human understanding and subtle analysis of contemporary culture that are combined in his work,literature,1976
Vicente,Aleixandre,1898-04-26,1984-12-14,Spain,"for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars",literature,1977
Isaac Bashevis,Singer,1904-07-14,1991-07-24,Russian Empire (now Poland),"for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life",literature,1978
Odysseus,Elytis,1911-11-02,1996-03-18,Crete (now Greece),"for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness",literature,1979
Czeslaw,Milosz,1911-06-30,2004-08-14,Russian Empire (now Lithuania),who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts,literature,1980
Elias,Canetti,1905-07-25,1994-08-14,Bulgaria,"for writings marked by a broad outlook, a wealth of ideas and artistic power",literature,1981
Gabriel,García Márquez,1927-03-06,2014-04-17,Colombia,"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts",literature,1982
William,Golding,1911-09-19,1993-06-19,United Kingdom,"for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today",literature,1983
Jaroslav,Seifert,1901-09-23,1986-01-10,Austria-Hungary (now Czech Republic),"for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man",literature,1984
Claude,Simon,1913-10-10,2005-07-06,Madagascar,who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition,literature,1985
Wole,Soyinka,1934-07-13,0000-00-00,Nigeria,who in a wide cultural perspective and with poetic overtones fashions the drama of existence,literature,1986
Joseph,Brodsky,1940-05-24,1996-01-28,USSR (now Russia),"for an all-embracing authorship, imbued with clarity of thought and poetic intensity",literature,1987
Naguib,Mahfouz,1911-12-11,2006-08-30,Egypt,"who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind",literature,1988
Camilo José,Cela,1916-05-11,2002-01-17,Spain,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability",literature,1989
Octavio,Paz,1914-03-31,1998-04-19,Mexico,"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity",literature,1990
Nadine,Gordimer,1923-11-20,2014-07-13,South Africa,who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity,literature,1991
Derek,Walcott,1930-01-23,2017-03-17,Saint Lucia,"for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment",literature,1992
Toni,Morrison,1931-02-18,2019-08-05,USA,"who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality",literature,1993
Kenzaburo,Oe,1935-01-31,0000-00-00,Japan,"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today",literature,1994
Seamus,Heaney,1939-04-13,2013-08-30,Northern Ireland,"for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past",literature,1995
Wislawa,Szymborska,1923-07-02,2012-02-01,Poland,for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality,literature,1996
Dario,Fo,1926-03-24,2016-10-13,Italy,who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden,literature,1997
José,Saramago,1922-11-16,2010-06-18,Portugal,"who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality",literature,1998
Günter,Grass,1927-10-16,2015-04-13,Free City of Danzig (now Poland),whose frolicsome black fables portray the forgotten face of history,literature,1999
Ragnar,Frisch,1895-03-03,1973-01-31,Norway,for having developed and applied dynamic models for the analysis of economic processes,economics,1969
Jan,Tinbergen,1903-04-12,1994-06-09,the Netherlands,for having developed and applied dynamic models for the analysis of economic processes,economics,1969
Paul A.,Samuelson,1915-05-15,2009-12-13,USA,for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science,economics,1970
Simon,Kuznets,1901-04-30,1985-07-08,Russian Empire (now Belarus),for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development,economics,1971
John R.,Hicks,1904-04-08,1989-05-20,United Kingdom,for their pioneering contributions to general economic equilibrium theory and welfare theory,economics,1972
Kenneth J.,Arrow,1921-08-23,2017-02-21,USA,for their pioneering contributions to general economic equilibrium theory and welfare theory,economics,1972
Wassily,Leontief,1906-08-05,1999-02-05,Russia,for the development of the input-output method and for its application to important economic problems,economics,1973
Gunnar,Myrdal,1898-12-06,1987-05-17,Sweden,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",economics,1974
Friedrich,von Hayek,1899-05-08,1992-03-23,Austria,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",economics,1974
Leonid Vitaliyevich,Kantorovich,1912-01-19,1986-04-07,Russian Empire (now Russia),for their contributions to the theory of optimum allocation of resources,economics,1975
Tjalling C.,Koopmans,1910-08-28,1985-02-26,the Netherlands,for their contributions to the theory of optimum allocation of resources,economics,1975
Milton,Friedman,1912-07-31,2006-11-16,USA,"for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy",economics,1976
Bertil,Ohlin,1899-04-23,1979-08-03,Sweden,for their pathbreaking contribution to the theory of international trade and international capital movements,economics,1977
James E.,Meade,1907-06-23,1995-12-22,United Kingdom,for their pathbreaking contribution to the theory of international trade and international capital movements,economics,1977
Herbert,Simon,1916-06-15,2001-02-09,USA,for his pioneering research into the decision-making process within economic organizations,economics,1978
Theodore W.,Schultz,1902-04-30,1998-02-26,USA,for their pioneering research into economic development research with particular consideration of the problems of developing countries,economics,1979
Sir Arthur,Lewis,1915-01-23,1991-06-15,British West Indies (now Saint Lucia),for their pioneering research into economic development research with particular consideration of the problems of developing countries,economics,1979
Lawrence R.,Klein,1920-09-14,2013-10-20,USA,for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies,economics,1980
James,Tobin,1918-03-05,2002-03-11,USA,"for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices",economics,1981
George J.,Stigler,1911-01-17,1991-12-01,USA,"for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation",economics,1982
Gerard,Debreu,1921-07-04,2004-12-31,France,for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium,economics,1983
Richard,Stone,1913-08-30,1991-12-06,United Kingdom,for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis,economics,1984
Franco,Modigliani,1918-06-18,2003-09-25,Italy,for his pioneering analyses of saving and of financial markets,economics,1985
James M.,Buchanan Jr.,1919-10-03,2013-01-09,USA,for his development of the contractual and constitutional bases for the theory of economic and political decision-making,economics,1986
Robert M.,Solow,1924-08-23,0000-00-00,USA,for his contributions to the theory of economic growth,economics,1987
Maurice,Allais,1911-05-31,2010-10-09,France,for his pioneering contributions to the theory of markets and efficient utilization of resources,economics,1988
Trygve,Haavelmo,1911-12-13,1999-07-26,Norway,for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures,economics,1989
Harry M.,Markowitz,1927-08-24,0000-00-00,USA,for their pioneering work in the theory of financial economics,economics,1990
Merton H.,Miller,1923-05-16,2000-06-03,USA,for their pioneering work in the theory of financial economics,economics,1990
William F.,Sharpe,1934-06-16,0000-00-00,USA,for their pioneering work in the theory of financial economics,economics,1990
Ronald H.,Coase,1910-12-29,2013-09-02,United Kingdom,for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy,economics,1991
Gary,Becker,1930-12-02,2014-05-03,USA,"for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour",economics,1992
Robert W.,Fogel,1927-07-01,2013-06-11,USA,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,economics,1993
Douglass C.,North,1920-11-05,2015-11-23,USA,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,economics,1993
John C.,Harsanyi,1920-05-29,2000-08-09,Hungary,for their pioneering analysis of equilibria in the theory of non-cooperative games,economics,1994
John F.,Nash Jr.,1928-06-13,2015-05-23,USA,for their pioneering analysis of equilibria in the theory of non-cooperative games,economics,1994
Reinhard,Selten,1930-10-05,2016-08-23,Germany (now Poland),for their pioneering analysis of equilibria in the theory of non-cooperative games,economics,1994
Robert E.,Lucas Jr.,1937-09-15,0000-00-00,USA,"for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy",economics,1995
James A.,Mirrlees,1936-07-05,2018-08-29,Scotland,for their fundamental contributions to the economic theory of incentives under asymmetric information,economics,1996
William,Vickrey,1914-06-21,1996-10-11,Canada,for their fundamental contributions to the economic theory of incentives under asymmetric information,economics,1996
Robert C.,Merton,1944-07-31,0000-00-00,USA,for a new method to determine the value of derivatives,economics,1997
Myron,Scholes,1941-07-01,0000-00-00,Canada,for a new method to determine the value of derivatives,economics,1997
Amartya,Sen,1933-11-03,0000-00-00,India,for his contributions to welfare economics,economics,1998
Robert,Mundell,1932-10-24,2021-04-04,Canada,for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas,economics,1999
Il´ja M.,Frank,1908-10-23,1990-06-22,Russia,for the discovery and the interpretation of the Cherenkov effect,physics,1958
Arvid,Carlsson,1923-01-25,2018-06-29,Sweden,for their discoveries concerning signal transduction in the nervous system,medicine,2000
Paul,Greengard,1925-12-11,2019-04-13,USA,for their discoveries concerning signal transduction in the nervous system,medicine,2000
Eric,Kandel,1929-11-07,0000-00-00,Austria,for their discoveries concerning signal transduction in the nervous system,medicine,2000
Kim,Dae-jung,1925-12-03,2009-08-18,Korea (now South Korea),"for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular",peace,2000
Zhores,Alferov,1930-03-15,2019-03-01,USSR (now Belarus),for developing semiconductor heterostructures used in high-speed- and opto-electronics,physics,2000
Herbert,Kroemer,1928-08-25,0000-00-00,Germany,for developing semiconductor heterostructures used in high-speed- and opto-electronics,physics,2000
Jack,Kilby,1923-11-08,2005-06-20,USA,for his part in the invention of the integrated circuit,physics,2000
Alan,Heeger,1936-01-22,0000-00-00,USA,for the discovery and development of conductive polymers,chemistry,2000
Alan,MacDiarmid,1927-04-14,2007-02-07,New Zealand,for the discovery and development of conductive polymers,chemistry,2000
Hideki,Shirakawa,1936-08-20,0000-00-00,Japan,for the discovery and development of conductive polymers,chemistry,2000
James J.,Heckman,1944-04-19,0000-00-00,USA,for his development of theory and methods for analyzing selective samples,economics,2000
Daniel L.,McFadden,1937-07-29,0000-00-00,USA,for his development of theory and methods for analyzing discrete choice,economics,2000
Xingjian,Gao,1940-01-04,0000-00-00,China,"for an œuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama",literature,2000
Leland,Hartwell,1939-10-30,0000-00-00,USA,for their discoveries of key regulators of the cell cycle,medicine,2001
Tim,Hunt,1943-02-19,0000-00-00,United Kingdom,for their discoveries of key regulators of the cell cycle,medicine,2001
Sir Paul,Nurse,1949-01-25,0000-00-00,United Kingdom,for their discoveries of key regulators of the cell cycle,medicine,2001
Eric,Cornell,1961-12-19,0000-00-00,USA,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",physics,2001
Wolfgang,Ketterle,1957-10-21,0000-00-00,West Germany (now Germany),"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",physics,2001
Carl,Wieman,1951-03-26,0000-00-00,USA,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",physics,2001
William,Knowles,1917-06-01,2012-06-13,USA,for their work on chirally catalysed hydrogenation reactions,chemistry,2001
Ryoji,Noyori,1938-09-03,0000-00-00,Japan,for their work on chirally catalysed hydrogenation reactions,chemistry,2001
Barry,Sharpless,1941-04-28,0000-00-00,USA,for his work on chirally catalysed oxidation reactions,chemistry,2001
George A.,Akerlof,1940-06-17,0000-00-00,USA,for their analyses of markets with asymmetric information,economics,2001
A. Michael,Spence,1943-00-00,0000-00-00,USA,for their analyses of markets with asymmetric information,economics,2001
Joseph E.,Stiglitz,1943-02-09,0000-00-00,USA,for their analyses of markets with asymmetric information,economics,2001
V. S.,Naipaul,1932-08-17,2018-08-11,Trinidad and Tobago,for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories,literature,2001
United Nations,,1945-00-00,0000-00-00,,for their work for a better organized and more peaceful world,peace,2001
Kofi,Annan,1938-04-08,2018-08-18,Gold Coast (now Ghana),for their work for a better organized and more peaceful world,peace,2001
Sydney,Brenner,1927-01-13,2019-04-05,South Africa,for their discoveries concerning genetic regulation of organ development and programmed cell death',medicine,2002
H. Robert,Horvitz,1947-05-08,0000-00-00,USA,for their discoveries concerning genetic regulation of organ development and programmed cell death',medicine,2002
John E.,Sulston,1942-03-27,2018-03-06,United Kingdom,for their discoveries concerning genetic regulation of organ development and programmed cell death',medicine,2002
Raymond,Davis Jr.,1914-10-14,2006-05-31,USA,"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos",physics,2002
Masatoshi,Koshiba,1926-09-19,2020-11-12,Japan,"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos",physics,2002
Riccardo,Giacconi,1931-10-06,2018-12-16,Italy,"for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources",physics,2002
John B.,Fenn,1917-06-15,2010-12-10,USA,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,chemistry,2002
Koichi,Tanaka,1959-08-03,0000-00-00,Japan,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,chemistry,2002
Kurt,Wüthrich,1938-10-04,0000-00-00,Switzerland,for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution,chemistry,2002
Daniel,Kahneman,1934-03-05,0000-00-00,British Mandate of Palestine (now Israel),"for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty",economics,2002
Vernon L.,Smith,1927-01-01,0000-00-00,USA,"for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms",economics,2002
Imre,Kertész,1929-11-09,2016-03-31,Hungary,for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history,literature,2002
Jimmy,Carter,1924-10-01,0000-00-00,USA,"for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development",peace,2002
J. M.,Coetzee,1940-02-09,0000-00-00,South Africa,who in innumerable guises portrays the surprising involvement of the outsider,literature,2003
Paul C.,Lauterbur,1929-05-06,2007-03-27,USA,for their discoveries concerning magnetic resonance imaging,medicine,2003
Sir Peter,Mansfield,1933-10-09,2017-02-08,United Kingdom,for their discoveries concerning magnetic resonance imaging,medicine,2003
Alexei,Abrikosov,1928-06-25,2017-03-29,USSR (now Russia),for pioneering contributions to the theory of superconductors and superfluids,physics,2003
Vitaly L.,Ginzburg,1916-10-04,2009-11-08,Russia,for pioneering contributions to the theory of superconductors and superfluids,physics,2003
Anthony J.,Leggett,1938-03-26,0000-00-00,United Kingdom,for pioneering contributions to the theory of superconductors and superfluids,physics,2003
Peter,Agre,1949-01-30,0000-00-00,USA,for the discovery of water channels,chemistry,2003
Roderick,MacKinnon,1956-02-19,0000-00-00,USA,for structural and mechanistic studies of ion channels,chemistry,2003
Robert F.,Engle III,1942-11-10,0000-00-00,USA,for methods of analyzing economic time series with time-varying volatility (ARCH),economics,2003
Clive W.J.,Granger,1934-09-04,2009-05-27,United Kingdom,for methods of analyzing economic time series with common trends (cointegration),economics,2003
Shirin,Ebadi,1947-06-21,0000-00-00,Iran,for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children,peace,2003
Richard,Axel,1946-07-02,0000-00-00,USA,for their discoveries of odorant receptors and the organization of the olfactory system,medicine,2004
Linda B.,Buck,1947-01-29,0000-00-00,USA,for their discoveries of odorant receptors and the organization of the olfactory system,medicine,2004
David J.,Gross,1941-02-19,0000-00-00,USA,for the discovery of asymptotic freedom in the theory of the strong interaction,physics,2004
H. David,Politzer,1949-08-31,0000-00-00,USA,for the discovery of asymptotic freedom in the theory of the strong interaction,physics,2004
Frank,Wilczek,1951-05-15,0000-00-00,USA,for the discovery of asymptotic freedom in the theory of the strong interaction,physics,2004
Aaron,Ciechanover,1947-10-01,0000-00-00,British Protectorate of Palestine (now Israel),for the discovery of ubiquitin-mediated protein degradation,chemistry,2004
Avram,Hershko,1937-12-31,0000-00-00,Hungary,for the discovery of ubiquitin-mediated protein degradation,chemistry,2004
Irwin,Rose,1926-07-16,2015-06-03,USA,for the discovery of ubiquitin-mediated protein degradation,chemistry,2004
Elfriede,Jelinek,1946-10-20,0000-00-00,Austria,for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power,literature,2004
Wangari,Maathai,1940-04-01,2011-09-25,Kenya,"for her contribution to sustainable development, democracy and peace",peace,2004
Finn E.,Kydland,1943-12-01,0000-00-00,Norway,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,economics,2004
Edward C.,Prescott,1940-12-26,0000-00-00,USA,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,economics,2004
Barry J.,Marshall,1951-09-30,0000-00-00,Australia,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,medicine,2005
J. Robin,Warren,1937-06-11,0000-00-00,Australia,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,medicine,2005
Roy J.,Glauber,1925-09-01,2018-12-26,USA,for his contribution to the quantum theory of optical coherence,physics,2005
John L.,Hall,1934-08-21,0000-00-00,USA,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique",physics,2005
Theodor W.,Hänsch,1941-10-30,0000-00-00,Germany,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique",physics,2005
Yves,Chauvin,1930-10-10,2015-01-27,Belgium,for the development of the metathesis method in organic synthesis,chemistry,2005
Robert H.,Grubbs,1942-02-27,2021-12-19,USA,for the development of the metathesis method in organic synthesis,chemistry,2005
Richard R.,Schrock,1945-01-04,0000-00-00,USA,for the development of the metathesis method in organic synthesis,chemistry,2005
International Atomic Energy Agency,,1957-00-00,0000-00-00,,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,peace,2005
Mohamed,ElBaradei,1942-06-17,0000-00-00,Egypt,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,peace,2005
Robert J.,Aumann,1930-06-08,0000-00-00,Germany,for having enhanced our understanding of conflict and cooperation through game-theory analysis,economics,2005
Thomas C.,Schelling,1921-04-14,2016-12-13,USA,for having enhanced our understanding of conflict and cooperation through game-theory analysis,economics,2005
Harold,Pinter,1930-10-10,2008-12-24,United Kingdom,who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms,literature,2005
Andrew Z.,Fire,1959-04-27,0000-00-00,USA,for their discovery of RNA interference - gene silencing by double-stranded RNA,medicine,2006
Craig C.,Mello,1960-10-19,0000-00-00,USA,for their discovery of RNA interference - gene silencing by double-stranded RNA,medicine,2006
John C.,Mather,1946-08-07,0000-00-00,USA,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,physics,2006
George F.,Smoot,1945-02-20,0000-00-00,USA,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,physics,2006
Roger D.,Kornberg,1947-04-24,0000-00-00,USA,for his studies of the molecular basis of eukaryotic transcription,chemistry,2006
Edmund S.,Phelps,1933-07-26,0000-00-00,USA,for his analysis of intertemporal tradeoffs in macroeconomic policy,economics,2006
Orhan,Pamuk,1952-06-07,0000-00-00,Turkey,who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures,literature,2006
Muhammad,Yunus,1940-06-28,0000-00-00,British India (now Bangladesh),for their efforts to create economic and social development from below,peace,2006
Grameen Bank,,1976-00-00,0000-00-00,,for their efforts to create economic and social development from below,peace,2006
Mario R.,Capecchi,1937-10-06,0000-00-00,Italy,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,medicine,2007
Sir Martin J.,Evans,1941-01-01,0000-00-00,United Kingdom,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,medicine,2007
Oliver,Smithies,1925-06-23,2017-01-10,United Kingdom,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,medicine,2007
Albert,Fert,1938-03-07,0000-00-00,France,for the discovery of Giant Magnetoresistance,physics,2007
Peter,Grünberg,1939-05-18,2018-04-09,Czechoslovakia (now Czech Republic),for the discovery of Giant Magnetoresistance,physics,2007
Gerhard,Ertl,1936-10-10,0000-00-00,Germany,for his studies of chemical processes on solid surfaces,chemistry,2007
Doris,Lessing,1919-10-22,2013-11-17,Persia (now Iran),"that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny",literature,2007
Intergovernmental Panel on Climate Change,,1988-00-00,0000-00-00,,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",peace,2007
Al,Gore,1948-03-31,0000-00-00,USA,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",peace,2007
Leonid,Hurwicz,1917-08-21,2008-06-24,Russia,for having laid the foundations of mechanism design theory,economics,2007
Eric S.,Maskin,1950-12-12,0000-00-00,USA,for having laid the foundations of mechanism design theory,economics,2007
Roger B.,Myerson,1951-03-29,0000-00-00,USA,for having laid the foundations of mechanism design theory,economics,2007
Harald,zur Hausen,1936-03-11,0000-00-00,Germany,for his discovery of human papilloma viruses causing cervical cancer,medicine,2008
Françoise,Barré-Sinoussi,1947-07-30,0000-00-00,France,for their discovery of human immunodeficiency virus,medicine,2008
Luc,Montagnier,1932-08-18,2022-02-08,France,for their discovery of human immunodeficiency virus,medicine,2008
Yoichiro,Nambu,1921-01-18,2015-07-05,Japan,for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics,physics,2008
Makoto,Kobayashi,1944-04-07,0000-00-00,Japan,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,physics,2008
Toshihide,Maskawa,1940-02-07,2021-07-23,Japan,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,physics,2008
Osamu,Shimomura,1928-08-27,2018-10-19,Japan,"for the discovery and development of the green fluorescent protein, GFP",chemistry,2008
Martin,Chalfie,1947-01-15,0000-00-00,USA,"for the discovery and development of the green fluorescent protein, GFP",chemistry,2008
Roger Y.,Tsien,1952-02-01,2016-08-24,USA,"for the discovery and development of the green fluorescent protein, GFP",chemistry,2008
Jean-Marie Gustave,Le Clézio,1940-04-13,0000-00-00,France,"author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization",literature,2008
Martti,Ahtisaari,1937-06-23,0000-00-00,Finland,"for his important efforts, on several continents and over more than three decades, to resolve international conflicts",peace,2008
Paul,Krugman,1953-02-28,0000-00-00,USA,for his analysis of trade patterns and location of economic activity,economics,2008
Elizabeth H.,Blackburn,1948-11-26,0000-00-00,Australia,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,medicine,2009
Carol W.,Greider,1961-04-15,0000-00-00,USA,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,medicine,2009
Jack W.,Szostak,1952-11-09,0000-00-00,United Kingdom,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,medicine,2009
Charles K.,Kao,1933-11-04,2018-09-23,China,for groundbreaking achievements concerning the transmission of light in fibers for optical communication,physics,2009
Willard S.,Boyle,1924-08-19,2011-05-07,Canada,for the invention of an imaging semiconductor circuit - the CCD sensor,physics,2009
George E.,Smith,1930-05-10,0000-00-00,USA,for the invention of an imaging semiconductor circuit - the CCD sensor,physics,2009
Venkatraman,Ramakrishnan,1952-00-00,0000-00-00,India,for studies of the structure and function of the ribosome,chemistry,2009
Thomas A.,Steitz,1940-08-23,2018-08-23,USA,for studies of the structure and function of the ribosome,chemistry,2009
Ada E.,Yonath,1939-06-22,0000-00-00,British Mandate of Palestine (now Israel),for studies of the structure and function of the ribosome,chemistry,2009
Herta,Müller,1953-08-17,0000-00-00,Romania,"who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed",literature,2009
Barack,Obama,1961-08-04,0000-00-00,USA,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,peace,2009
Elinor,Ostrom,1933-08-07,2012-06-12,USA,"for her analysis of economic governance, especially the commons",economics,2009
Oliver E.,Williamson,1932-09-27,0000-00-00,USA,"for his analysis of economic governance, especially the boundaries of the firm",economics,2009
Robert G.,Edwards,1925-09-27,2013-04-10,United Kingdom,for the development of in vitro fertilization,medicine,2010
Andre,Geim,1958-10-21,0000-00-00,Russia,for groundbreaking experiments regarding the two-dimensional material graphene,physics,2010
Konstantin,Novoselov,1974-08-23,0000-00-00,Russia,for groundbreaking experiments regarding the two-dimensional material graphene,physics,2010
Richard F.,Heck,1931-08-15,2015-10-09,USA,for palladium-catalyzed cross couplings in organic synthesis,chemistry,2010
Ei-ichi,Negishi,1935-07-14,2021-06-06,China,for palladium-catalyzed cross couplings in organic synthesis,chemistry,2010
Akira,Suzuki,1930-09-12,0000-00-00,Japan,for palladium-catalyzed cross couplings in organic synthesis,chemistry,2010
Mario,Vargas Llosa,1936-03-28,0000-00-00,Peru,"for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat",literature,2010
Xiaobo,Liu,1955-12-28,2017-07-13,China,for his long and non-violent struggle for fundamental human rights in China,peace,2010
Peter A.,Diamond,1940-04-29,0000-00-00,USA,for their analysis of markets with search frictions,economics,2010
Dale T.,Mortensen,1939-02-02,2014-01-09,USA,for their analysis of markets with search frictions,economics,2010
Christopher A.,Pissarides,1948-02-20,0000-00-00,Cyprus,for their analysis of markets with search frictions,economics,2010
